step_idx,t_step,month,demand,action_order_qty,reward_env,reward_raw,reward_clipped,fulfilled,lost_sales,end_on_hand
27,17,5,28.43919831684481,5,85.99237263593795,85.99237263593795,85.99237263593795,28.43919831684481,0.0,891.9980526625504
28,17,5,31.99394273394698,5,121.93860535374913,121.93860535374913,121.93860535374913,31.99394273394698,0.0,890.0041099286035
29,17,5,128.010293315925,0,1127.7041698367143,1127.7041698367143,1127.7041698367143,128.010293315925,0.0,761.9938166126785
30,18,5,134.2300715106716,0,1216.7479660863146,1216.7479660863146,1216.7479660863146,134.2300715106716,0.0,627.763745102007
31,18,5,1.326494276265993,15,-180.0225074024883,-180.0225074024883,-180.0225074024883,1.326494276265993,0.0,716.437250825741
32,18,5,40.66724864882533,5,245.51848605287012,245.51848605287012,245.51848605287012,40.66724864882533,0.0,705.7700021769157
33,18,5,29.71197162747163,5,135.9081101648275,135.9081101648275,135.9081101648275,29.71197162747163,0.0,706.0580305494441
34,18,5,2.574207740548059,20,-203.95468715629863,-203.95468715629863,-203.95468715629863,2.574207740548059,0.0,823.483822808896
35,19,5,166.8500968769093,0,1537.1742235826957,1537.1742235826957,1537.1742235826957,166.8500968769093,0.0,656.6337259319866
36,19,5,39.46775110929386,15,203.24431612840002,203.24431612840002,203.24431612840002,39.46775110929386,0.0,707.1659748226928
37,19,5,0.9592247765357151,15,-199.64910224387427,-199.64910224387427,-199.64910224387427,0.9592247765357151,0.0,796.206750046157
38,19,5,34.04094452868913,5,161.9762841833977,161.9762841833977,161.9762841833977,34.04094452868913,0.0,792.1658055174679
39,19,5,3.360305700604725,5,-150.1580429573254,-150.1580429573254,-150.1580429573254,3.360305700604725,0.0,818.8054998168632
40,20,6,32.6398023612364,5,143.16488412123863,143.16488412123863,143.16488412123863,32.6398023612364,0.0,816.1656974556267
41,20,6,2.06440544678281,5,-168.17620393394068,-168.17620393394068,-168.17620393394068,2.06440544678281,0.0,844.101292008844
42,20,6,179.2128294595342,5,1633.15060208548,1633.15060208548,1633.15060208548,179.2128294595342,0.0,694.8884625493098
43,20,6,35.9209173714228,5,201.41566467865061,201.41566467865061,201.41566467865061,35.9209173714228,0.0,688.967545177887
44,20,6,1.014697490473099,15,-195.4435946327518,-195.4435946327518,-195.4435946327518,1.014697490473099,0.0,777.952847687414
45,21,6,173.5043058789892,0,1614.1533504282067,1614.1533504282067,1614.1533504282067,173.5043058789892,0.0,604.4485418084248
46,21,6,0.837486286705124,15,-180.3473482372927,-180.3473482372927,-180.3473482372927,0.837486286705124,0.0,693.6110555217197
47,21,6,41.65181885160189,15,218.12634118199531,218.12634118199531,218.12634118199531,41.65181885160189,0.0,741.9592366701178
48,21,6,40.98675245713194,5,243.67302772872227,243.67302772872227,243.67302772872227,40.98675245713194,0.0,730.9724842129858
49,21,6,2.171530546111213,20,-213.0448852722628,-213.0448852722628,-213.0448852722628,2.171530546111213,0.0,848.8009536668746
50,22,6,2.548422664682306,5,-169.76627955361542,-169.76627955361542,-169.76627955361542,2.548422664682306,0.0,876.2525310021923
